variable,TARDBP,UNC13B,UNC13A,condition,source,UNC13A_annotated,UNC13A_3prime,UNC13A_5prime,UNC13A_5prime_2,UNC13A_5prime_3,cryptic_psi
CTR01,0.962298170515803,1.04265984629545,1.00487887183072,control,shsy5y_normed,207,0,0,0,0,0
CTR02,1.01081256839779,0.919378560608369,0.995326572909116,control,shsy5y_normed,147,0,0,0,0,0
CTR03,1.0268892610864,1.03796159309618,0.999794555260163,control,shsy5y_normed,221,0,0,0,0,0
TDP04,0.204962346414442,0.746803495758905,0.596826890923903,TDP-43 KD,shsy5y_normed,25,67,62,16,0,0.837662337662338
TDP05,0.174028571775157,0.682873428106641,0.621461038336811,TDP-43 KD,shsy5y_normed,73,72,51,4,0,0.627551020408163
TDP06,0.211516247245304,0.803546402486429,0.738461224413323,TDP-43 KD,shsy5y_normed,103,51,49,4,0,0.492610837438424
Cont-A_S1,1.00687618457403,0.99366784841215,0.984755333560047,control,ipsc_normed_ward,96,0,0,0,0,0
Cont-B_S2,0.958367176197534,1.03415885168162,0.994856297019217,control,ipsc_normed_ward,144,0,0,0,0,0
Cont-C_S3,1.0372825439384,0.963032525837872,1.02532712483931,control,ipsc_normed_ward,117,0,0,0,0,0
Cont-D_S4,0.99747409529003,1.00914077406836,0.995061244581427,control,ipsc_normed_ward,121,0,0,0,0,0
TDP43-E_S5,0.374528908952666,0.517913612541119,0.77287374848371,TDP-43 KD,ipsc_normed_ward,38,6,33,10,0,0.506493506493507
TDP43-F_S6,0.339072803280768,0.622201736850384,0.878762344088347,TDP-43 KD,ipsc_normed_ward,36,57,42,6,0,0.733333333333333
TDP43-G_S7,0.365142832510652,0.621264327078865,0.869350410330324,TDP-43 KD,ipsc_normed_ward,27,32,26,6,2,0.682352941176471
CTR07,1.12855152126336,0.893462505439697,0.707880841162003,control,shsy5y_normed_no_snp,10,0,0,0,0,0
CTR08,0.967164420599529,1.26175321112243,1.16050893648768,control,shsy5y_normed_no_snp,43,0,0,0,0,0
CTR09,0.904284058137115,0.844784283437869,1.13161022235032,control,shsy5y_normed_no_snp,25,0,0,0,0,0
TDP10,0.515486228149861,0.866989316915596,0.678163076541913,TDP-43 KD,shsy5y_normed_no_snp,11,1,0,2,0,0.0833333333333333
TDP11,0.419800520703195,0.94042840991775,1.07106266388868,TDP-43 KD,shsy5y_normed_no_snp,33,2,1,0,0,0.0833333333333333
TDP12,0.487863861734988,0.806027677922662,1.05644578970385,TDP-43 KD,shsy5y_normed_no_snp,22,0,2,0,0,0.0833333333333333
control_fluorescent_2,0.942522227819291,1.00163150205777,0.983508250941522,control,klim_normed,41,0,0,0,0,0
control_fluorescent_3,0.99582947534575,1.02877905136495,1.06930883866275,control,klim_normed,19,0,0,0,0,0
control_none_1,1.21211493570673,0.970818430110249,1.36941147899091,control,klim_normed,80,0,0,0,0,0
control_none_2,0.978169927099774,0.925790249423196,0.784590959525527,control,klim_normed,22,0,0,0,0,0
control_none_3,0.789163996122542,0.94537967672998,0.772516531971053,control,klim_normed,8,0,0,0,0,0
control_scramble_1,1.0984166523315,0.900192264623706,1.08648010099056,control,klim_normed,73,0,0,0,0,0
control_scramble_2,1.10750829168139,1.06741987367323,1.28552973698551,control,klim_normed,73,0,0,0,0,0
control_scramble_3,0.954011241793095,0.990534755808233,0.938968655868884,control,klim_normed,46,0,0,0,0,0
control_scramble_4,1.00219916433982,1.07593993635683,0.959405241683022,control,klim_normed,21,0,0,0,0,0
control_scramble_5,0.85446094480063,0.944782256096235,0.78983475259969,control,klim_normed,10,0,0,0,0,0
control_scramble_6,1.06560314295948,1.14873200375562,0.960445451780562,control,klim_normed,21,0,0,0,0,0
TDP43_knockdown_1,0.490960170681212,0.658607367017506,0.921401870585378,TDP-43 KD,klim_normed,76,6,4,4,0,0.116279069767442
TDP43_knockdown_2,0.462447919790632,0.650638388864714,0.949272606024182,TDP-43 KD,klim_normed,56,6,5,0,0,0.164179104477612
TDP43_knockdown_3,0.324520711304448,0.71576992367067,0.948835398093682,TDP-43 KD,klim_normed,30,1,1,0,0,0.0625
TDP43_knockdown_4,0.370966119019845,0.81109503092316,0.844241771468291,TDP-43 KD,klim_normed,29,0,4,0,0,0.121212121212121
TDP43_knockdown_5,0.405775725093757,0.845989271835133,0.749164058388315,TDP-43 KD,klim_normed,17,0,0,0,0,0
TDP43_knockdown_6,0.320785569487952,0.795672487704694,0.838647081584653,TDP-43 KD,klim_normed,16,0,0,0,0,0
siLUC_1,1.17136786269725,0.910411613050745,1.02276284209816,control,sh_dzap,27,0,0,0,0,0
siLUC_2,0.959376720339356,0.805582462709295,1.02421819962726,control,sh_dzap,24,0,0,0,0,0
siLUC_3,0.869255416963396,1.28400592423996,0.953018958274584,control,sh_dzap,24,0,0,0,0,0
siTDP_1,0.640399119179685,0.739746176927936,0.790431888150046,TDP-43 KD,sh_dzap,28,3,3,1,0,0.176470588235294
siTDP_2,0.263191556967729,0.698602047666575,0.654273148489847,TDP-43 KD,sh_dzap,11,5,8,0,0,0.541666666666667
siTDP_3,0.313515788408548,0.768969919884315,0.556137790963822,TDP-43 KD,sh_dzap,12,1,3,0,0,0.25
